file path,transcript
audios/0001_0068.wav,Que ahora nada malo va a poder pasarte. Que encuentro que algo lindo en esto de extrañar
audios/0001_0069.wav,"Te. Siento que estás ahí, aunque no pueda hablarte. Tu calor me acompaña, siempre va pa' tod"
audios/0001_0070.wav,"Todas partes. Miedo, tienen los que no caminan. Juego, a caerme para arriba"
audios/0001_0071.wav,"Fuego, para quemar tu mentira. Y no me preguntes lo que hice porque ya no sé. No"
audios/0001_0072.wav,"quiero caer, hoy salgo a matar. No pienso volver, a quedarme at"
audios/0001_0073.wav,"Tras. No me digas na', que voy para allá. Que voy para arriba y no pienso mira"
audios/0001_0074.wav,"Rar Pa' abajo, acá estamos picando el ajo, muevo la cadera y se va to' al carajo (Uoh). El silbido del viento susurra que ya no podemos mirar"
audios/0001_0075.wav,"Pa' abajo, nena, nos costó trabajo, movéme las caderas y se va to' al carajo. Uoh. El silbido del viento susurra al oído que ya no podemos mirar"
audios/0002_0002.wav,"Que pasa putq que  estoy fluyendo, lo agarro en la base que lo estoy destruyendo, me estan distrayendo"
audios/0002_0004.wav,"que necesito la internacional para que me sigan queriendo, vos necesita esta compe para poder seguir creciendo"
audios/0002_0005.wav,"En serio, flow en los genes, nene del  ADN  ya genere"
audios/0002_0006.wav,por demás te voy a matar y mostrar todo en el compás que viene viene viene
audios/0002_0007.wav,vienen de afuera esto es una pequeña muestrita de lo que le es
audios/0002_0008.wav,Pero. gato gato gato te mato presten atención que acá me llevo el
audios/0002_0009.wav,se hace el rebelde el gato solo el rebelde way él va a ganar el mundial
audios/0002_0010.wav,mañana jugando en la play
audios/0002_0011.wav,Que mundial? Que mundial? Si
audios/0002_0012.wav,Voy mas pa para delante que este no me para porque soy constante
audios/0002_0014.wav,Vigilante puto. Bajate de la tarima yo voy a representar toda ARGENTINA
audios/0002_0015.wav,"Cuidado negro con no estar tan sebado si entra el wosito con un flow finito y termina lepao,que no sos de las colmenas"
audios/0002_0016.wav,SI ya estas atolondrado te gustó mucho la miel y terminaste
audios/0002_0017.wav,el que se empeña habla de colmena me da pena aca llego la abeja reina para mostrarte el rap
audios/0002_0018.wav,"laberinto de este fauno acá la abeja reina a perdido mira al zanguango , vale un "
audios/0002_0019.wav,Voy con el flow rotando tengo lo ritmo que quiero mi amigo a veces me siento muy bien otras veces para ganar y a veces no y el flow no esta perdido
audios/0002_0020.wav,tranquilo mi amigo yo se que hace tiempo buscas este premio no
audios/0002_0021.wav,Sabe adaptarse. A las instrumentales que se quede tranquilo que yo le enseño
audios/0002_0022.wav,Bajo muevo el pit otra vez fluyendo pit pit
audios/0002_0023.wav,no te hago un hit yo tampoco soy esa colmena
audios/0002_0024.wav,"no me mires así que vos también sabes que mi free vale pena, la cadena la rompi vos no te las anotas pero"
audios/0002_0025.wav,vieron nunca la acotas luego otra vez en este free siempre me muere o no esta después nunca que escribir lo mismo que vomi
audios/0002_0026.wav,Itas. otravez esta para atras tras tras brillando mientras yo ando siempre con 
audios/0002_0027.wav,"digan lo que quieran que me estan mandando ando, muy tranqui jugando paresco en esto "
audios/0002_0028.wav,Armando usted esto preocupados yo le gano y encima vasilo meneando ando
audios/0002_0029.wav,"Sos un intruso, te ganó ens"
audios/0002_0030.wav,uso de ir como un buso buceando que ando buscando los recursos retomó
audios/0002_0031.wav,cambió el corsor cuando las frases yo te las pulso vos tenes los demonios internos solo saco para afuera cada vez que pulso
audios/0002_0034.wav,solamente te digo lo que quiero decir no me mires con cara de que
audios/0002_0035.wav,dice que me pinta la cara que es un jede no puede conmigo dice que yo soy un nene que enhebrando por de
audios/0002_0036.wav,en el adn viene haciendo que esta mierda sobre el bit cosa que el no puede
audios/0002_0037.wav,le duele  que repee como quiero y cada vez que pongo ritmo que acelera y hijo de pu... sigo siendo que el primero me deprime que digas que por rapear si no
audios/0002_0038.wav,haces nada en el juego hoy no hace falta que tire la avalancha de las rimas desde que entró a la can
audios/0002_0039.wav,cha sabe que perdió la vida
audios/0002_0041.wav,"bigote. tengo flow lingote cacotes hoy no es distinto las caras de pinto como en la red bull, fms y en el quinto"
audios/0002_0042.wav,ese soy yo pu
audios/0002_0043.wav,"Puto, cagon. moriste y  te fuiste por ser un bocon, yo . ritmo un montón una rima de estas tonelada nada te man"
audios/0002_0044.wav,otra tonelada de ron otra vez me voy a tomar ese licor quieren pararme y me siento gigante yo voy adelante me dicen king kong
audios/0002_0045.wav,"Creo que se fue, que se fue que ya lo mate ya lo arrebate van dos de estas un hijo de puta y la rima ya la"
audios/0002_0046.wav,A desgaste. te pase esto que es muy fuerte tengo un freestyle negro no se salva la su
audios/0002_0047.wav,estoy muy fuerte soy wos A.K.A tu verdugo para siempre
audios/0002_0050.wav,mientras que en un muerto para ver si lo
audios/0002_0051.wav,como es vos no saber caminar estoy tranquilo mi negro
audios/0002_0052.wav,antes Duki te se solía llevar ahora te soltó la mano y no sabes caminar
audios/0002_0053.wav,queres que te la tire una y otra vez me estoy cansando tonto de tu puta
audios/0002_0054.wav,ves la desestre ex es el que te saca el estrés convino en uno dos tres marquito vos que queres?
audios/0002_0055.wav,estas afuera hace tiempo si yo los ritmos frescos como scolari metiendola antes de tiempo
audios/0002_0056.wav,tu problema dental para dentistas su problema mental ni el mejor anal
audios/0002_0057.wav,y complicado de hacer mucho influyó en la base tengo todos a mi merced y seguir soñando con que quiera con un Mercedez Benz
audios/0002_0058.wav,sos ambisocio y codicioso pareces el señor Burns
audios/0002_0060.wav,"te mando a coma papa delizo, análiso te mato en el trap no puede conmigo me siento tupac bienvenido wosito es"
audios/0002_0062.wav,modesto le molestó si le tiro un poco de estos suena fres
audios/0002_0063.wav,siempre estoy andando dom
audios/0002_0064.wav,minando que mi bando estoy mirando
audios/0002_0065.wav,diego armando está jugando que no merezco que están hablando que el cinturón que me la sigan chupan
audios/0002_0066.wav,"Ando. que la tengo yo, que habla adriano, el hermano y el padre que abre el papo el capo y la ma"
audios/0002_0067.wav,che compadre andate bien  a la reconcha de tu mad
audios/0002_0068.wav,Adre. pichado de mierda entro para costado y te meto en
audios/0002_0069.wav,perra decirme qué te pasa que se consigua un cinturon porque el mío está en mi ca
audios/0002_0070.wav,y mi rima guasa desde casa negro que te pasa de la plaza tonto este lo vacuna mufasa quiere una remera regalale un
audios/0002_0072.wav,anda darte un permitido con los pibes
audios/0002_0073.wav,"compartíamos vino pa,pa,pa partido y no no viniste ni a jugar un partido pa pa pa pa mal paridos papá papá"
audios/0002_0074.wav,y se va adolorido otra vez conmigo otra vez con todo ya quedaste con la gente de vuelta como alto bob
audios/0002_0075.wav,bo otras veces porque talento nato que entró y los sacos negros más malo que el
audios/0002_0076.wav,le duele que lo deje como un gato y que un pendejo de 20 le robe el campeonato
audios/0002_0055.wav,estas afuera hace tiempo si yo los ritmos frescos como scolari metiendola antes de tiempo
audios/0002_0056.wav,tu problema dental para dentistas su problema mental ni el mejor anal
audios/0002_0057.wav,y complicado de hacer mucho influyó en la base tengo todos a mi merced y seguir soñando con que quiera con un Mercedez Benz
audios/0002_0058.wav,sos ambisocio y codicioso pareces el señor Burns
audios/0002_0060.wav,"te mando a coma papa delizo, análiso te mato en el trap no puede conmigo me siento tupac bienvenido wosito es"
audios/0002_0062.wav,modesto le molestó si le tiro un poco de estos suena fres
audios/0002_0063.wav,siempre estoy andando dom
audios/0002_0064.wav,minando que mi bando estoy mirando
audios/0002_0065.wav,diego armando está jugando que no merezco que están hablando que el cinturón que me la sigan chupan
audios/0002_0066.wav,"Ando. que la tengo yo, que habla adriano, el hermano y el padre que abre el papo el capo y la ma"
audios/0002_0067.wav,che compadre andate bien  a la reconcha de tu mad
audios/0002_0068.wav,Adre. pichado de mierda entro para costado y te meto en
audios/0000_0000.wav,"PURPURA; PURPURA, veo el color en el air"
audios/0000_0001.wav,"re. PURPURA, PURPURA, Quieren que yo no sea na"
audios/0000_0002.wav,"adie. PURPURA; PURPURA, Vamo' a seguir es"
audios/0000_0003.wav,La danza de los que resisten bailando aunque quieran que no seamos na
audios/0000_0004.wav,"Adie. PURPURA; PURPURA, Veo el color en el a"
audios/0000_0005.wav,"PURPURA; PURPURA, Quieren que yo no sea nadie"
audios/0000_0006.wav,"PURPURA; PURPURA, Vamo' a seguir este ba"
audios/0000_0007.wav,Aile. La danza de los que resisten bailando aunque quieren que no seamos nadie
audios/0000_0008.wav,"Porque bailando entiendo lo que pasa, en cambio el falso amor se deshila"
audios/0000_0009.wav,"Acha. Si un dia sos Dios, y al otro Cucaracha, La mitad te deja de querer cuando perdes la racha"
audios/0000_0010.wav,"Fui viajando a lo mas profundo de mi ser, y cuando quise darme cuenta ya no estaba haciendo pieeee"
audios/0000_0011.wav,Eeh. Creo que flotee
audios/0000_0012.wav,"O fue tanta la presión, me parece que explot"
audios/0000_0013.wav,"Parece el colmo, Justo cuando busco peras me convierto en olmo"
audios/0000_0014.wav,"Cuanto más vacio, cuanto más compongo, me construí mi casa entre caja y bombo"
audios/0000_0015.wav,"Bo. Ahí dormido respiro y resongo. Te miro transpiro y me odio, no estoy sobrio, eso es obvio, dame otro sorbo ¿O acaso sobro?"
audios/0000_0016.wav,¿Hace cuanto no pensamos en nosotros?
audios/0000_0017.wav,"PURPURA; PURPURA, Veo el color en el aire"
audios/0000_0018.wav,"PURPURA; PURPURA, quieren que yo no sea na"
audios/0000_0019.wav,"PURPURA; PURPURA, Vamo' a seguir este "
audios/0000_0020.wav,La danza de los que resisten bailando aunque quieran que no seamos nadie
audios/0000_0021.wav,"PURPURA; PURPURA, Veo el color en el a"
audios/0000_0022.wav,"Aire. PURPURA; PURPURA, Quieren que yo no sea nadie"
audios/0000_0023.wav,"PURPURA; PURPURA, Vamo' a seguir este bai"
audios/0000_0024.wav,Le. La danza de los que resisten bailando aunque quieran que no seamos na
audios/0000_0025.wav,"Me dejo las cicatrices, son el mapa corporal que me recuerdan lo que hi"
audios/0000_0026.wav,"Se. Somos lombrices, Lombrices solitarias en la panza de este mundo de infelices. So"
audios/0000_0027.wav,"Mos clones, Clonazepan clin caja y dinero de a montones, Que no reaccione"
audios/0000_0028.wav,"Somos clones, Clonazepan clin caja y dinero de a montones, Que te am"
audios/0000_0029.wav,"Vivas produciendo, pa' que sigas consumiendo, no hay lugar para las emociones, lo estamos "
audios/0000_0030.wav,Viendo. Si nuestros placer vienen con bases y condiciones ¿Me e?
audios/0000_0031.wav,"Entre repletos de egoísmo, los quiero ver cuando se enfrenten a su abí"
audios/0000_0032.wav,"Ismo. Si pintan paredes te parece bandalismo, Pero matan mujeres ¿Y eso a vos te da lo mismo?,No!"
audios/0000_0033.wav,"No soy moralista, Solo parte del artista, Descargo en la pista mi p"
audios/0000_0034.wav,"Hago que se desvista, Se me despista, Me pide pista, Hasta la vivi-vivvii-vi"
audios/0000_0035.wav,"vista. Me gusta contar lo que siento realmente, Así en 10 años sabré lo que pensaba a los 20"
audios/0000_0036.wav,"Entiendo que no sepan que expresar, Si están viviendo mierda ¿Que mierda van a contar?"
audios/0000_0037.wav,"PURPURA; PURPURA, siento el color en el aire"
audios/0000_0038.wav,"Aire. PURPURA; PURPURA, Quieren que yo no sea na"
audios/0000_0039.wav,"PURPURA; PURPURA, Vamo' a seguir este baile"
audios/0000_0040.wav,La danza de los que resisten moviendo aunque quieran que no seamos NANANANANANA
audios/0001_0000.wav,Las caras cambian todas cuando vos llegás. La noche te sigue mientras vos girás
audios/0001_0001.wav,Acá todos mueren por verte fumar. Tu magia está cerca y protege el lugar
audios/0001_0002.wav,Ahí voy a querer estar. Donde tu risa me saca a bailar. Cada vez
audios/0001_0003.wav,"que yo no me encuentro en mí, eh. Voy a vos para revivir, eh"
audios/0001_0004.wav,"Yo voy a estar ahí, yeh. Siempre podés venir"
audios/0001_0005.wav,Ella camina con su viajero. Entre desastres y prisioneros
audios/0001_0006.wav,Cuando el destino se pone austero. Sale al rescate lo verdadero
audios/0001_0007.wav,Ella camina con su viajero. Entre desastres y prisioneros
audios/0001_0008.wav,Cuando el destino se pone austero. Sale al rescate lo verdade
audios/0001_0009.wav,"Comprensión bendita, un par de dilemas. Humanidad maldita, cuerpo que ti"
audios/0001_0010.wav,"Ita. Mirada que desvela, de esas que te hielan. Gratitud infinita, noches sin estrellas"
audios/0001_0011.wav,"Con miles de ellas, alma dinami"
audios/0001_0012.wav,"Ita. Voces en la cripta, felicidad compleja. Una espera escrita, angustias bellas. Onomat"
audios/0001_0013.wav,"Atopeya, río que se agita. Una luz interna, fuego que habilita. Lágrima"
audios/0001_0014.wav,"que quema, protección eterna. Un amor que gri"
audios/0001_0015.wav,"Cada vez que yo no me encuentro en mí, eh. Voy a vos para revivir, eh"
audios/0001_0016.wav,"Yo voy a estar ahí, yeh. Siempre podés veni"
audios/0001_0017.wav,Ella camina con su viajero. Entre desastres y prisioneros
audios/0001_0018.wav,Cuando el destino se pone austero. Sale al rescate lo verdade
audios/0001_0019.wav,Ero. Ella camina con su viajero. Entre desastres y prisione
audios/0001_0020.wav,Eros. Cuando el destino se pone austero. Sale al rescate lo verdadero
audios/0001_0021.wav,"Que arranque la impro, le meto en sincro. Estoy tranquilo esperando el "
audios/0001_0022.wav,"Nitro. El fuego en mí, ese que solo se prende. Cuando ve la magia y la comprende"
audios/0001_0023.wav,Hay algo que se entiende más allá de las palabras. Por eso no lo escucho cuando ladra
audios/0001_0024.wav,"Abran las puertas del alma, veo y pinto el alba. No me siento distinto, pero al menos estoy en calma"
audios/0001_0025.wav,Allá vos con los tuyos donde te hallas. Yo otra vez construí esta muralla
audios/0001_0026.wav,Para parar los balazos del que quiera dar batalla. Del que habla por demás pero nunca tuvo agallas
audios/0001_0027.wav,Yo sigo buscando ese río adentro mío. Para fluir es todo un desaf
audios/0001_0028.wav,Fio. Que desatino cuando no agarro el timón. Y no rimo cuando lo que tengo adentro no lo im
audios/0001_0029.wav,Imprimo. Me deprimo solo cuando pierdo el polo. Otra vez con todo y con na
audios/0001_0030.wav,Ada. Convivo con lo que me degrada. Con los aullidos que me tira
audios/0001_0031.wav,La grada. Soy un lobo más en esta manada descarada. Que encara con gana' de volver a la caravana
audios/0001_0032.wav,"Hermana y hermano, palmas al aire. Quiero que la gente se me sume al baile"
audios/0001_0033.wav,"Que se suba al cypher, estoy de cabeza. Con los pies al revés, la destreza de este DS3"
audios/0001_0034.wav,Mucha estupidez junta. El que tira y que no sabe a dónde apunta
audios/0001_0035.wav,Y todos debatiéndose a ver quién es menos monstruo. Y en el medio de su mierda estamos nosotros
audios/0001_0036.wav,"Los hacinados, los marginados. Y los demás qué estamos cómodos tomados, eh"
audios/0001_0037.wav,"Rebalsa el tiempo en mi cenicero, y yo ya me quemé de esperar. Sigo buscando lo que quiero, no se me puede escapar"
audios/0001_0038.wav,"Justo te vi diciendo que sí. Pasaste tan cerca, tan lejos de mí"
audios/0001_0039.wav,"Eso es todo lo que quiero, ya me cansé de esperar. No sé qué voy a contar en el com"
audios/0001_0040.wav,Pa. Pero solamente estoy rebalsando paz. Alzando la copa pa' tirarla al cielo eh
audios/0001_0041.wav,Cerremo los ojos y cumplamos los anhelo'. Sacate el velo y empezá a bailar. Que
audios/0001_0042.wav,lo nuevo empiece a brillar. Es un caramelo en el pal
audios/0001_0043.wav,Ladar. El que saca la pala para sacar lo malo y encarar al bar. Me quiero animar a mimar mi espas
audios/0001_0044.wav,"cio. Perdóname, solo sé avanzar despacio. Le doy lugar a mi cansancio"
audios/0001_0045.wav,"Y a él ""no sé"", a mí no me apura un Casio. Mucho menos las agujas de ese reloj falso, eh"
audios/0001_0046.wav,"Miráme cuando avanzo. Van soltando falsas alabanzas todos esos gansos, eh"
audios/0001_0047.wav,"Eh, ¿cómo hay que hacer?. No hay que elegir ni dirigir"
audios/0001_0048.wav,"Solamente hay muchas cosas que no puedo digerir. ¿Qué voy a hacer, che? Solo me siento libre en un"
audios/0001_0049.wav,"free cuando puedo soltarme con una Bic y con. El tintero lleno, como pulpo de ocho manos, otra vez estoy la"
audios/0001_0050.wav,"largando los vocablos, eh. Yo sigo parado en una mano, agradecido por haber nacido entre tanto"
audios/0001_0051.wav,Hoy nos vamos a escapar pa'delante y sin mirar. ¿Cuántas vueltas vamo' a dar hasta encontrarnos de nuevo?
audios/0001_0052.wav,Hoy nos vamos a escapar pa'delante y sin mirar. ¿Cuántas vueltas vamo' a dar hasta encontrarnos de nuevo?
audios/0001_0053.wav,"Salgo con lo puesto, te ofrezco, esto que es fresco. Y hago sin mirar al resto, no es que no sea modesto pero"
audios/0001_0054.wav,"ahora ya no me preocupa. Los gestos de los giles que andan mirando con lupa, wow"
audios/0001_0055.wav,"Nosotros en la nuestra, goce y plenitud. Y vos fichando el estilo que trae mi"
audios/0001_0056.wav,"cru Vos no estás en mi club, te falta acá actitud. Estás mirando para ver cómo ro"
audios/0001_0057.wav,"barme el gruv. Traje ron con limón, pa' cortar con estos días grises. Si esta ciudad parece un congreso de infelices"
audios/0001_0058.wav,"El cemento caliente ya formó un desierto. El mundo que es un manicomio, pero a cielo ab"
